subj_idx,session,block,trial,stimulus,response,rt,prevstim,prevresp,prevrt,prev2resp,prev3resp,prev2stim,prev3stim,prev2rt,prev3rt
1,2,3,7,-1,0,2.129,1,1,2.23682415436991,-1,1,-1,1,0.110297822734714,2.22233380024155
1,2,3,8,1,1,1.279,-1,-1,2.74040915776247,1,-1,1,-1,2.23682415436991,0.110297822734714
1,2,3,9,-1,0,1.569,1,1,-0.131190199964255,-1,1,-1,1,2.74040915776247,2.23682415436991
1,2,3,10,1,1,1.917,-1,-1,1.0204385367653,1,-1,1,-1,-0.131190199964255,2.74040915776247
1,2,3,11,1,1,1.367,1,1,2.14931780576424,-1,1,-1,1,1.0204385367653,-0.131190199964255
1,2,3,12,-1,0,1.017,1,1,0.243782568346318,1,-1,1,-1,2.14931780576424,1.0204385367653
1,2,3,13,-1,1,1.307,-1,-1,-1.42292058153516,1,1,1,1,0.243782568346318,2.14931780576424
1,2,3,14,-1,0,1.164,-1,1,-0.00915273376458026,-1,1,-1,1,-1.42292058153516,0.243782568346318
1,2,3,15,1,1,1.625,-1,-1,-0.662126188203287,1,-1,-1,-1,-0.00915273376458026,-1.42292058153516
1,2,3,16,1,1,1.715,1,1,1.2180646461511,-1,1,-1,-1,-0.662126188203287,-0.00915273376458026
1,2,3,17,1,1,1.429,1,1,1.52183674873664,1,-1,1,-1,1.2180646461511,-0.662126188203287
1,2,3,18,-1,0,1.478,1,1,0.493743663465072,1,1,1,1,1.52183674873664,1.2180646461511
1,2,3,19,1,1,1.282,-1,-1,0.683737224483751,1,1,1,1,0.493743663465072,1.52183674873664
1,2,3,20,1,0,1.451,1,1,-0.117987627079084,-1,1,-1,1,0.683737224483751,0.493743663465072
1,2,3,21,-1,0,1.395,1,-1,0.579840132268925,1,-1,1,-1,-0.117987627079084,0.683737224483751
1,2,3,22,-1,0,1.544,-1,-1,0.358043019394826,-1,1,1,1,0.579840132268925,-0.117987627079084
1,2,3,23,1,0,1.25,-1,-1,0.929924293776347,-1,-1,-1,1,0.358043019394826,0.579840132268925
1,2,3,24,1,1,1.368,1,-1,-0.260435543074858,-1,-1,-1,-1,0.929924293776347,0.358043019394826
1,2,3,25,-1,0,1.338,1,1,0.247903442837471,-1,-1,1,-1,-0.260435543074858,0.929924293776347
1,2,3,26,1,1,1.167,-1,-1,0.122947200920285,1,-1,1,1,0.247903442837471,-0.260435543074858
1,2,3,27,-1,0,1.219,1,1,-0.647620914774927,-1,1,-1,1,0.122947200920285,0.247903442837471
1,2,3,28,1,1,1.22,-1,-1,-0.40195303587222,1,-1,1,-1,-0.647620914774927,0.122947200920285
1,2,3,29,-1,0,1.334,1,1,-0.397332046998664,-1,1,-1,1,-0.40195303587222,-0.647620914774927
1,2,3,30,-1,0,1.133,-1,-1,0.106075045755153,1,-1,1,-1,-0.397332046998664,-0.40195303587222
1,2,3,31,1,0,1.539,-1,-1,-0.814241792391041,-1,1,-1,1,0.106075045755153,-0.397332046998664
1,2,3,32,-1,0,1.335,1,-1,0.911645667255948,-1,-1,-1,-1,-0.814241792391041,0.106075045755153
