subj_idx,session,block,trial,stimulus,coherence,response,rt,prevstim,prevresp,prev2resp,prev2stim,prev3resp,prev3stim,prevrt
1,1,3,87,0,0,0,0.550489187240601,-1,1,-1,-1,-1,-1,0.400485992431641
1,1,3,88,-27,27,0,0.483822107315063,1,-1,1,-1,-1,-1,0.300489187240601
1,1,3,89,-9,9,0,0.467822074890137,-1,-1,-1,1,1,-1,0.233822107315063
1,1,3,90,-81,81,0,0.484284639358521,-1,-1,-1,-1,-1,1,0.217822074890137
1,1,3,91,81,81,1,0.400469779968262,-1,-1,-1,-1,-1,-1,0.234284639358521
1,1,3,92,3,3,1,0.717571973800659,1,1,-1,-1,-1,-1,0.150469779968262
1,1,3,93,81,81,1,0.433818817138672,1,1,1,1,-1,-1,0.467571973800659
1,1,3,94,-3,3,0,0.750937938690186,1,1,1,1,1,1,0.183818817138672
1,1,3,95,-3,3,0,0.467582941055298,-1,-1,1,1,1,1,0.500937938690186
1,1,3,96,-0,0,0,0.433820009231567,-1,-1,-1,-1,1,1,0.217582941055298
1,1,3,97,9,9,1,0.433806896209717,-1,-1,-1,-1,-1,-1,0.183820009231567
1,1,3,98,3,3,0,0.550915956497192,1,1,-1,-1,-1,-1,0.183806896209717
1,1,3,99,3,3,1,0.433801174163818,1,-1,1,1,-1,-1,0.300915956497192
1,1,4,9,9,9,1,0.583791017532349,-1,-1,-1,1,-1,-1,0.300481796264648
1,1,4,10,-27,27,0,0.500447988510132,1,1,-1,-1,-1,1,0.333791017532349
1,1,4,11,81,81,1,0.467129707336426,-1,-1,1,1,-1,-1,0.250447988510132
1,1,4,12,-0,0,0,0.650445938110352,1,1,-1,-1,1,1,0.217129707336426
1,1,4,13,0,0,0,0.650452613830566,-1,-1,1,1,-1,-1,0.400445938110352
1,1,4,14,-81,81,0,0.483798027038574,1,-1,-1,-1,1,1,0.400452613830566
1,1,4,15,81,81,1,0.500882148742676,-1,-1,-1,1,-1,-1,0.233798027038574
1,1,4,16,-9,9,0,0.267158031463623,1,1,-1,-1,-1,1,0.250882148742676
1,1,4,17,81,81,1,0.4671311378479,-1,-1,1,1,-1,-1,0.017158031463623
1,1,4,23,81,81,1,0.567108154296875,-1,-1,1,1,-1,-1,0.451720952987671
